"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"596","d1.MW946214.1"
"597","d1.MW946210.1"
"598","d1.MW946215.1"
"599","d1.MW946208.1"
"600","d1.MW946213.1"
"601","d1.MW946211.1"
"602","d1.MW946216.1"
"603","d1.MW946217.1"
"604","d1.MW946219.1"
"605","d1.MW946221.1"
"606","d1.MW946218.1"
"607","d1.MW946220.1"
"608","d1.MW946222.1"
"609","d1.MW946223.1"
"610","d1.MW946224.1"
"611","d1.MW946225.1"
"612","d1.MW946226.1"
"613","d1.MW946228.1"
"614","d1.MW946227.1"
"615","d1.MW946229.1"
"616","d1.MW946230.1"
"617","d1.MW946232.1"
"618","d1.MW946231.1"
"619","d1.MW946233.1"
"620","d1.MW946234.1"
"621","d1.MW946235.1"
"622","d1.MW946236.1"
"623","d1.MW946237.1"
"624","d1.MW946238.1"
"625","d1.MW946240.1"
"626","d1.MW946241.1"
"627","d1.MW946242.1"
"628","d1.MW946239.1"
"629","d1.MW946244.1"
"630","d1.MW946245.1"
"631","d1.MW946246.1"
"632","d1.MW946243.1"
"633","d1.MW946249.1"
"634","d1.MW946248.1"
"635","d1.MW946250.1"
"636","d1.MW946247.1"
"637","d1.MW946251.1"
"638","d1.MW946252.1"
"639","d1.MW828678.1"
"640","d1.MW946253.1"
"641","d1.MW946254.1"
"642","d1.MN954555.1"
"643","d1.MN954554.1"
"644","d1.MT929528.1"
"645","d1.MT929530.1"
"646","d1.MT929531.1"
"647","d1.MT929532.1"
"648","d1.MT929533.1"
"649","d1.MT929534.1"
"650","d1.MT929536.1"
"651","d1.MT929537.1"
"652","d1.MT929535.1"
"653","d1.MT929539.1"
"654","d1.MT929541.1"
"655","d1.MT929543.1"
"656","d1.MT929546.1"
"657","d1.MT929547.1"
"658","d1.MT929544.1"
"659","d1.MT929549.1"
"660","d1.MT929548.1"
"661","d1.MT929550.1"
"662","d1.MT929552.1"
"663","d1.MT929554.1"
"664","d1.MT929555.1"
"665","d1.MT929556.1"
"666","d1.MT929559.1"
"667","d1.MT929571.1"
"668","d1.MT929561.1"
"669","d1.MT929573.1"
"670","d1.MT929574.1"
"671","d1.MT929578.1"
"672","d1.MT929577.1"
"673","d1.MT929580.1"
"674","d1.MT929579.1"
"675","d1.MT929584.1"
"676","d1.MW261824.1"
"677","d1.MW261825.1"
"678","d1.MW261826.1"
"679","d1.MW261827.1"
"680","d1.MW261828.1"
"681","d1.MW261829.1"
"682","d1.MW261831.1"
"683","d1.MW261830.1"
"684","d1.MW261832.1"
"685","d1.MW261833.1"
"686","d1.MW261834.1"
"687","d1.MW261836.1"
"688","d1.MW261835.1"
"689","d1.MW261837.1"
"690","d1.MW261838.1"
"691","d1.MW261839.1"
"692","d1.MW261841.1"
"693","d1.MW261840.1"
"694","d1.MW261843.1"
"695","d1.MW261842.1"
"696","d1.MW261845.1"
"697","d1.MW261844.1"
"698","d1.MW261847.1"
"699","d1.MW362471.1"
"700","d1.MW261846.1"
"701","d1.MW362472.1"
"702","d1.MW261848.1"
"703","d1.MW362475.1"
"704","d1.MW362473.1"
"705","d1.MW362474.1"
"706","d1.MW582813.1"
"707","d1.MW362476.1"
"708","d1.MW582814.1"
"709","d1.MW362477.1"
"710","d1.MW553079.1"
"711","d1.MW582815.1"
"712","d1.MW553080.1"
"713","d1.MW582816.1"
"714","d1.MW547780.1"
"715","d1.MW547783.1"
"716","d1.MT832033.1"
"717","d1.MW547779.1"
"718","d1.MT832032.1"
"719","d1.MW548420.1"
"720","d1.MT832036.1"
"721","d1.MT832035.1"
"722","d1.MT832034.1"
"723","d1.MT832038.1"
"724","d1.MT832037.1"
"725","d1.MT832040.1"
"726","d1.MT832041.1"
"727","d1.MT832039.1"
"728","d1.MT832042.1"
"729","d1.MT832044.1"
"730","d1.MT832043.1"
"731","d1.MT832046.1"
"732","d1.MT832047.1"
"733","d1.MT832048.1"
"734","d1.MT832049.1"
"735","d1.MT832052.1"
"736","d1.MT832045.1"
"737","d1.MT832050.1"
"738","d1.MW386862.1"
"739","d1.MW386864.1"
"740","d1.MT832051.1"
"741","d1.MW386863.1"
"742","d1.MW386866.1"
"743","d1.MW386865.1"
"744","d1.MW386867.1"
"745","d1.MW386902.1"
"746","d1.MW377901.1"
"747","d1.MW377900.1"
"748","d1.MW377899.1"
"749","d1.MW377902.1"
"750","d1.MW377903.1"
"751","d1.MW377904.1"
"752","d1.MW377906.1"
"753","d1.MW377909.1"
"754","d1.MW377908.1"
"755","d1.MW377907.1"
"756","d1.MW364630.1"
"757","d1.MW364631.1"
"758","d1.MW295817.1"
"759","d1.MW288036.1"
"760","d1.MW288032.1"
"761","d1.MN886902.1"
"762","d1.MN886901.1"
"763","d1.MN886900.1"
"764","d1.MN886903.1"
"765","d1.MN886904.1"
"766","d1.MN886905.1"
"767","d1.MN886908.1"
"768","d1.MN886906.1"
"769","d1.MN886907.1"
"770","d1.MN886909.1"
"771","d1.MN886911.1"
"772","d1.MN886910.1"
"773","d1.MN886913.1"
"774","d1.MN886912.1"
"775","d1.MW243050.1"
"776","d1.MW243006.1"
"777","d1.MN886914.1"
"778","d1.MW243052.1"
"779","d1.MW243051.1"
"780","d1.MW243053.1"
"781","d1.MW243062.1"
"782","d1.MW208043.1"
"783","d1.MN886880.1"
"784","d1.MW243063.1"
"785","d1.MN886879.1"
"786","d1.MN886881.1"
"787","d1.MW208044.1"
"788","d1.MW208056.1"
"789","d1.MN886882.1"
"790","d1.MN886886.1"
"791","d1.MN886883.1"
"792","d1.MN886884.1"
"793","d1.MN886889.1"
"794","d1.MN886887.1"
"795","d1.MN886888.1"
"796","d1.MN886885.1"
"797","d1.MN886890.1"
"798","d1.MN886891.1"
"799","d1.MN886895.1"
"800","d1.MN886892.1"
"801","d1.MN886893.1"
"802","d1.MN886894.1"
"803","d1.MN886896.1"
"804","d1.MN886897.1"
"805","d1.MN886898.1"
"806","d1.MN886899.1"
"807","d1.MN886915.1"
"808","d1.MN886918.1"
"809","d1.MN886917.1"
"810","d1.MN886916.1"
"811","d1.MN886920.1"
"812","d1.MN886919.1"
"813","d1.MN886921.1"
"814","d1.MN886922.1"
"815","d1.MN448598.1"
"816","d1.MN886923.1"
"817","d1.MN448597.1"
"818","d1.MN886924.1"
"819","d1.MN448600.1"
"820","d1.MN448599.1"
"821","d1.MN448601.1"
"822","d1.MN448603.1"
"823","d1.MN448604.1"
"824","d1.MN448605.1"
"825","d1.MN448602.1"
"826","d1.MN448608.1"
"827","d1.MN448609.1"
"828","d1.MN448610.1"
"829","d1.MN448606.1"
"830","d1.MN448614.1"
"831","d1.MN448612.1"
"832","d1.MN448611.1"
"833","d1.MN448613.1"
"834","d1.MN448615.1"
"835","d1.MN448616.1"
"836","d1.MN448617.1"
"837","d1.MN448618.1"
"838","d1.MN448619.1"
"839","d1.MN448621.1"
"840","d1.MN448620.1"
"841","d1.MN448624.1"
"842","d1.MN448623.1"
"843","d1.MN448622.1"
"844","d1.MN448626.1"
"845","d1.MN448625.1"
"846","d1.MN448627.1"
"847","d1.MN448628.1"
"848","d1.MN448632.1"
"849","d1.MN448630.1"
"850","d1.MN448629.1"
"851","d1.MN448631.1"
"852","d1.MN448633.1"
"853","d1.MN448634.1"
"854","d1.MN448635.1"
"855","d1.MN448636.1"
"856","d1.MN448638.1"
"857","d1.MN448640.1"
"858","d1.MN448641.1"
"859","d1.MN448639.1"
"860","d1.MN448637.1"
"861","d1.MN448642.1"
"862","d1.MN448643.1"
"863","d1.MN448645.1"
"864","d1.MN448648.1"
"865","d1.MN448646.1"
"866","d1.MN448644.1"
"867","d1.MN448650.1"
"868","d1.MN448647.1"
"869","d1.MN448649.1"
"870","d1.MN448651.1"
"871","d1.MN448652.1"
"872","d1.MN448653.1"
"873","d1.MN448654.1"
"874","d1.MN448655.1"
"875","d1.MN448657.1"
"876","d1.MN448656.1"
"877","d1.MN448658.1"
"878","d1.MN448659.1"
"879","d1.MN448661.1"
"880","d1.MN448660.1"
"881","d1.MN448662.1"
"882","d1.MN448664.1"
"883","d1.MN448663.1"
"884","d1.MN448665.1"
"885","d1.MN448666.1"
"886","d1.MN448667.1"
"887","d1.MN448668.1"
"888","d1.MN448669.1"
"889","d1.MN448670.1"
"890","d1.MN448671.1"
"891","d1.MN448673.1"
"892","d1.MN448672.1"
"893","d1.MN448674.1"
"894","d1.MN448675.1"
"895","d1.MN448676.1"
"896","d1.MN448678.1"
"897","d1.MN448677.1"
"898","d1.MN448679.1"
"899","d1.MN448680.1"
"900","d1.MN448681.1"
"901","d1.MN448682.1"
"902","d1.MN448683.1"
"903","d1.MN448684.1"
"904","d1.MN448685.1"
"905","d1.MN448687.1"
"906","d1.MN448686.1"
"907","d1.MN448689.1"
"908","d1.MN448688.1"
"909","d1.MN448691.1"
"910","d1.MN448692.1"
"911","d1.MN448690.1"
"912","d1.MN448693.1"
"913","d1.MN448694.1"
"914","d1.MN448695.1"
"915","d1.MN448696.1"
"916","d1.MN449007.1"
"917","d1.MN449010.1"
"918","d1.MN449008.1"
"919","d1.MN449009.1"
"920","d1.MN449011.1"
"921","d1.MN449012.1"
"922","d1.MN449013.1"
"923","d1.MN449015.1"
"924","d1.MN449014.1"
"925","d1.MN449016.1"
"926","d1.MT862854.1"
"927","d1.MT862855.1"
"928","d1.MT862856.1"
"929","d1.MT862857.1"
"930","d1.MT862858.1"
"931","d1.MT862860.1"
"932","d1.MT862859.1"
"933","d1.MT862861.1"
"934","d1.MT862865.1"
"935","d1.MT862862.1"
"936","d1.MT862864.1"
"937","d1.MT862863.1"
"938","d1.MT862866.1"
"939","d1.MT862867.1"
"940","d1.MT862868.1"
"941","d1.MT862869.1"
"942","d1.MT862871.1"
"943","d1.MT862870.1"
"944","d1.MT862873.1"
"945","d1.MT862874.1"
"946","d1.MT862872.1"
"947","d1.MT862875.1"
"948","d1.MT862877.1"
"949","d1.MT862876.1"
"950","d1.MT862880.1"
"951","d1.MT862878.1"
"952","d1.MT862879.1"
"953","d1.MT862882.1"
"954","d1.MT862883.1"
"955","d1.MT862881.1"
"956","d1.MT862885.1"
"957","d1.MT862884.1"
"958","d1.MT862886.1"
"959","d1.MT862887.1"
"960","d1.MT862888.1"
"961","d1.MT862889.1"
"962","d1.MT862890.1"
"963","d1.MT862892.1"
"964","d1.MT862893.1"
"965","d1.MT862891.1"
"966","d1.MT862894.1"
"967","d1.MT862895.1"
"968","d1.MT929160.1"
"969","d1.MT459980.1"
"970","d1.MT921569.1"
"971","d1.MN886843.1"
"972","d1.MN886844.1"
"973","d1.MN886845.1"
"974","d1.MN886846.1"
"975","d1.MN886847.1"
"976","d1.MN886849.1"
"977","d1.MN886848.1"
"978","d1.MN886850.1"
"979","d1.MN886851.1"
"980","d1.MN886854.1"
"981","d1.MN886853.1"
"982","d1.MN886856.1"
"983","d1.MN886852.1"
