strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
EU920832.1	FGU-May-99	Dussart_2014	NCBI	1999-05-XX	French-Guiana	2	2_III	0	0	0	0	1999	1	1	1
EU920833.1	FGU-Jan-00	Dussart_2014	NCBI	2000-01-XX	French-Guiana	2	2_III	0	0	0	0	2000	1	1	1
EU920834.1	FGU-Dec-01	Dussart_2014	NCBI	2001-12-XX	French-Guiana	2	2_III	0	0	0	0	2001	1	1	1
EU920835.1	FGU-Apr-02	Dussart_2014	NCBI	2002-04-XX	French-Guiana	2	2_III	0	0	0	0	2002	1	1	1
EU920838.1	SUR-Aug-05	Dussart_2014	NCBI	2005-08-XX	Suriname	2	2_III	0	0	0	0	2005	2	2	2
EU920840.1	FGU-Oct-05	Dussart_2014	NCBI	2005-10-XX	French-Guiana	2	2_III	0	0	0	0	2005	1	1	1
EU920842.1	SUR-Oct-05	Dussart_2014	NCBI	2005-10-XX	Suriname	2	2_III	0	0	0	0	2005	2	2	2
EU920844.1	FGU-Jan1-06	Dussart_2014	NCBI	2006-01-XX	French-Guiana	2	2_III	0	0	0	0	2006	5	5	5
EU920845.1	FGU-Jan2-06	Dussart_2014	NCBI	2006-01-XX	French-Guiana	2	2_III	0	0	0	0	2006	5	5	5
EU920846.1	FGU-Mar-06	Dussart_2014	NCBI	2006-03-XX	French-Guiana	2	2_III	0	0	0	0	2006	5	5	5
EU920847.1	FGU-Apr1-06	Dussart_2014	NCBI	2006-04-XX	French-Guiana	2	2_III	0	0	0	0	2006	5	5	5
EU920848.1	FGU-Apr2-06	Dussart_2014	NCBI	2006-04-XX	French-Guiana	2	2_III	0	0	0	0	2006	5	5	5
KF041232.1	D2/Pakistan/2011-23/2011	Koo_2013	NCBI	2011-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2011	6	5	6
KF041233.1	D2/Pakistan/2011-3/2011	Koo_2013	NCBI	2011-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2011	6	5	6
KF041234.1	D2/Pakistan/2011-4/2011	Koo_2013	NCBI	2011-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2011	6	5	6
KF041235.1	D2/Pakistan/209/2009	Koo_2013	NCBI	2009-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2009	4	4	4
KF041236.1	D2/Pakistan/51/2008	Koo_2013	NCBI	2008-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2008	2	2	2
KF041237.1	D2/Pakistan/78/2009	Koo_2013	NCBI	2009-XX-XX	Pakistan	2	2_II_related	0	0	0	0	2009	4	4	4
KC964093.1	GD19/2001	Bai_2013	NCBI	2001-XX-XX	China	2	2_II_related	0	0	0	0	2001	3	3	3
KC964094.1	GD09/93	Bai_2013	NCBI	1993-XX-XX	China	2	2_II_related	0	0	0	0	1993	2	2	2
KC964095.1	GD05/98	Bai_2013	NCBI	1998-XX-XX	China	2	2_V	0	0	0	0	1998	2	2	2
KF360005.1	DENV-2/PK	Akram_2013	NCBI	2010-11-01	Pakistan	2	2_II_related	0	0	0	1	2010	1	1	1
JX669480.1	3275/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	2	2_III	0	0	0	0	1995	3	3	3
JX669481.1	3311/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	2	2_III	0	0	0	0	1995	3	3	3
JX669482.1	3337/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	2	2_III	0	0	0	0	1995	3	3	3
JX669483.1	37473/BR-PE/97	Silva_2013	NCBI	1997-XX-XX	Brazil	2	2_III	0	0	0	0	1997	7	7	7
JX669484.1	47913/BR-PE/98	Silva_2013	NCBI	1998-XX-XX	Brazil	2	2_III	0	0	0	0	1998	5	5	5
JX669485.1	51347/BR-PE/98	Silva_2013	NCBI	1998-XX-XX	Brazil	2	2_III	0	0	0	0	1998	5	5	5
JX669486.1	57135/BR-PE/99	Silva_2013	NCBI	1999-XX-XX	Brazil	2	2_III	0	0	0	0	1999	6	3	6
JX649147.1	CNS36	Carney_2013	NCBI	1995-XX-XX	Vietnam	2	2_III_related	0	0	0	0	1995	2	2	2
JX649148.1	CNS36	Carney_2013	NCBI	1995-XX-XX	Vietnam	2	2_III_related	0	0	0	0	1995	2	2	2
JX966379.1	DENV2-QR94	Khoo_2013	NCBI	1994-XX-XX	Mexico	2	2_I	0	0	0	0	1994	1	1	1
JQ922549.1	DENV-2/IND/969201/1996	Jayashri_2013	NCBI	1996-XX-XX	India	2	2_II_related	0	0	0	0	1996	1	1	1
JQ922550.1	DENV-2/IND/715394/1971	Jayashri_2013	NCBI	1971-XX-XX	India	2	2_I_related	0	0	0	0	1971	2	2	2
JQ922552.1	DENV-2/IND/P23085/1960	Jayashri_2013	NCBI	1960-XX-XX	India	2	2_I_related	0	0	0	0	1960	2	2	2
JQ922553.1	DENV-2/IND/803347/1980	Jayashri_2013	NCBI	1980-XX-XX	India	2	2_I_related	0	0	0	0	1980	1	1	1
KC131142.1	ZH413-2	Lin_2013	NCBI	2012-09-XX	China	2	2_II	0	0	0	0	2012	7	5	7
JN851113.1	SGEHI/D2/0017Y06	Lee_2012	NCBI	2006-XX-XX	Singapore	2	2_II	0	0	0	0	2006	5	5	5
JN851123.1	SGEHI/D2/0377Y04	Lee_2012	NCBI	2004-XX-XX	Singapore	2	2_II	0	0	0	0	2004	5	5	5
JN851127.1	SGEHI/D2/0685Y04	Lee_2012	NCBI	2004-XX-XX	Singapore	2	2_II	0	0	0	0	2004	5	5	5
JN851128.1	SGEHI/D2/0232Y06	Lee_2012	NCBI	2006-XX-XX	Singapore	2	2_II	0	0	0	0	2006	5	5	5
JN851129.1	SGEHI/D2/0204Y06	Lee_2012	NCBI	2006-XX-XX	Singapore	2	2_II	0	0	0	0	2006	5	5	5
JN819418.1	DENV-2/VN/BID-V2947/1988	Henn_2011	NCBI	1988-XX-XX	Vietnam	2	2_III	0	0	0	0	1988	1	1	1
HQ999999.1	DENV-2/GU/FDA-GUA09/2009	Anez_2011	NCBI	2009-XX-XX	Guatemala	2	2_III	0	0	0	0	2009	1	1	1
FJ196851.1	GD08/98	Wu_2011	NCBI	1998-XX-XX	China	2	2_V	0	0	0	0	1998	2	2	2
FJ196852.1	GD01/01	Wu_2011	NCBI	2001-XX-XX	China	2	2_II_related	0	0	0	0	2001	3	3	3
FJ196853.1	GD01/03	Wu_2011	NCBI	2003-XX-XX	China	2	2_II	0	0	0	0	2003	3	3	3
FJ196854.1	GD06/93	Wu_2011	NCBI	1993-XX-XX	China	2	2_II_related	0	0	0	0	1993	2	2	2
JF327392.1	DENV-2/SG/D2Y98P-PP1/2009	Grant_2011	NCBI	2009-XX-XX	Singapore	2	2_II	0	0	0	0	2009	9	9	9
HQ891023.1	DENV-2/TW/BID-V5054/2008	Henn_2011	NCBI	2008-XX-XX	Taiwan	2	2_IV	0	0	0	0	2008	4	4	4
HQ891024.1	DENV-2/TW/BID-V5056/2008	Henn_2011	NCBI	2008-XX-XX	Taiwan	2	2_IV	0	0	0	0	2008	4	4	4
HQ012533.1	BR41768/RJ/90	Faria_2011	NCBI	1990-XX-XX	Brazil	2	2_III	0	0	0	0	1990	10	10	10
HQ012534.1	BR42727/RJ/91	Faria_2011	NCBI	1991-XX-XX	Brazil	2	2_III	0	0	0	0	1991	1	1	1
HQ012535.1	BR48622/CE/94	Faria_2011	NCBI	1994-XX-XX	Brazil	2	2_III	0	0	0	0	1994	1	1	1
HQ012536.1	BR61310/RJ/98	Faria_2011	NCBI	1998-XX-XX	Brazil	2	2_III	0	0	0	0	1998	5	5	5
HQ012537.1	BR64905/RJ/99	Faria_2011	NCBI	1999-XX-XX	Brazil	2	2_III	0	0	0	0	1999	6	3	6
HQ012538.1	BR39145/RJ/90	Faria_2011	NCBI	1990-XX-XX	Brazil	2	2_III	0	0	0	0	1990	10	10	10
GQ398257.1	DENV-2/ID/1183DN/1977	Christenbury_2010	NCBI	1977-XX-XX	Indonesia	2	2_I_related	0	0	0	0	1977	1	1	1
GQ398258.1	DENV-2/ID/1016DN/1975	Christenbury_2010	NCBI	1975-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1975	3	3	3
GQ398259.1	DENV-2/ID/1017DN/1976	Christenbury_2010	NCBI	1976-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1976	5	5	5
GQ398260.1	DENV-2/ID/1070DN/1976	Christenbury_2010	NCBI	1976-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1976	5	5	5
GQ398261.1	DENV-2/ID/1172DN/1976	Christenbury_2010	NCBI	1976-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1976	5	5	5
GQ398262.1	DENV-2/ID/1127DN/1976	Christenbury_2010	NCBI	1976-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1976	5	5	5
GQ398263.1	DENV-2/ID/1023DN/1975	Christenbury_2010	NCBI	1975-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1975	3	3	3
GQ398264.1	DENV-2/ID/1046DN/1976	Christenbury_2010	NCBI	1976-XX-XX	Indonesia	2	2_II_related	0	0	0	0	1976	5	5	5
GQ398268.1	DENV-2/ID/1022DN/1975	Christenbury_2010	NCBI	1975-XX-XX	Indonesia	2	2_IV_related	0	0	0	0	1975	3	3	3
HM582099.1	D2/FJ/UH21/1971	Steel_2010	NCBI	1971-XX-XX	Fiji	2	2_I	0	0	0	0	1971	3	3	3
HM582100.1	D2/FJ/UH40/1971	Steel_2010	NCBI	1971-XX-XX	Fiji	2	2_I	0	0	0	0	1971	3	3	3
HM582101.1	D2/FJ/UH22/1971	Steel_2010	NCBI	1971-XX-XX	Fiji	2	2_I	0	0	0	0	1971	3	3	3
HM582102.1	D2/NC/UH37/1971	Steel_2010	NCBI	1971-XX-XX	New-Caledonia	2	2_I	0	0	0	0	1971	1	1	1
HM582103.1	D2/NC/UH97/1972	Steel_2010	NCBI	1972-XX-XX	New-Caledonia	2	2_I	0	0	0	0	1972	1	1	1
HM582104.1	D2/AS/UH77/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	2	2_I	0	0	0	0	1972	4	4	4
HM582105.1	D2/AS/UH79/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	2	2_I	0	0	0	0	1972	4	4	4
HM582106.1	D2/AS/UH85/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	2	2_I	0	0	0	0	1972	4	4	4
HM582107.1	D2/AS/UH73/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	2	2_I	0	0	0	0	1972	4	4	4
HM582108.1	D2/PF/UH50/1972	Steel_2010	NCBI	1972-XX-XX	French-Polynesia	2	2_I	0	0	0	0	1972	1	1	1
HM582109.1	D2/PF/UH57/1971	Steel_2010	NCBI	1971-XX-XX	French-Polynesia	2	2_I	0	0	0	0	1971	1	1	1
HM582110.1	D2/PF/UH00/1973	Steel_2010	NCBI	1973-XX-XX	French-Polynesia	2	2_I	0	0	0	0	1973	1	1	1
HM582111.1	D2/TO/UH16/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582112.1	D2/TO/UH19/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582113.1	D2/TO/UH20/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582114.1	D2/TO/UH39/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582115.1	D2/TO/UH44/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582116.1	D2/TO/UH94/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM582117.1	D2/TO/UH04/1974	Steel_2010	NCBI	1974-XX-XX	Tonga	2	2_I	0	0	0	0	1974	8	8	8
HM488257.1	DENV-2/GU/BID-V2950/2001	Henn_2010	NCBI	2001-XX-XX	Guam	2	2_II	0	0	0	0	2001	1	1	1
GU369819.1	CAM7786	Vaughan_2010	NCBI	2002-08-22	Mexico	2	2_III	0	0	0	1	2002	3	1	3
GU131947.1	DENV-2/CO/BID-V3374/2007	Henn_2009	NCBI	2007-XX-XX	Colombia	2	2_III	0	0	0	0	2007	8	8	8
GU289914.1	S16803	Kelly_2009	NCBI	1974-XX-XX	Thailand	2	2_V	0	0	0	0	1974	4	4	4
GU131843.1	DENV-2/BF/BID-V3502/1986	Henn_2009	NCBI	1986-XX-XX	Burkina-Faso	2	2_II_related	0	0	0	0	1986	3	1	3
GU131955.1	DENV-2/MX/BID-V3768/2004	Henn_2009	NCBI	2004-XX-XX	Mexico	2	2_III	0	0	0	0	2004	1	1	1
GQ868540.1	DENV-2/VE/BID-V3496/1990	Henn_2009	NCBI	1990-XX-XX	Venezuela	2	2_III	0	0	0	0	1990	9	6	9
GQ868541.1	DENV-2/VE/BID-V3497/1991	Henn_2009	NCBI	1991-XX-XX	Venezuela	2	2_III	0	0	0	0	1991	6	6	6
GQ868552.1	DENV-2/CO/BID-V3368/1998	Henn_2009	NCBI	1998-XX-XX	Colombia	2	2_III	0	0	0	0	1998	6	6	6
GQ868553.1	DENV-2/CO/BID-V3369/1999	Henn_2009	NCBI	1999-XX-XX	Colombia	2	2_III	0	0	0	0	1999	2	2	2
GQ868554.1	DENV-2/CO/BID-V3370/2004	Henn_2009	NCBI	2004-XX-XX	Colombia	2	2_III	0	0	0	0	2004	7	6	7
GQ868558.1	DENV-2/CO/BID-V3375/2007	Henn_2009	NCBI	2007-XX-XX	Colombia	2	2_III	0	0	0	0	2007	8	8	8
GQ868588.1	DENV-2/MX/BID-V3354/1983	Henn_2009	NCBI	1983-XX-XX	Mexico	2	2_I	0	0	0	0	1983	2	2	2
GQ868589.1	DENV-2/MX/BID-V3355/1983	Henn_2009	NCBI	1983-XX-XX	Mexico	2	2_I	0	0	0	0	1983	2	2	2
GQ868590.1	DENV-2/MX/BID-V3356/1992	Henn_2009	NCBI	1992-XX-XX	Mexico	2	2_I	0	0	0	0	1992	2	2	2
GQ868591.1	DENV-2/TH/BID-V3357/1964	Henn_2009	NCBI	1964-XX-XX	Thailand	2	2_V	0	0	0	0	1964	5	5	5
GQ868592.1	DENV-2/CO/BID-V3358/1986	Henn_2009	NCBI	1986-XX-XX	Colombia	2	2_I	0	0	0	0	1986	2	2	2
GQ868595.1	DENV-2/VE/BID-V3362/1991	Henn_2009	NCBI	1991-XX-XX	Venezuela	2	2_III	0	0	0	0	1991	6	6	6
GQ868596.1	DENV-2/VE/BID-V3363/1991	Henn_2009	NCBI	1991-XX-XX	Venezuela	2	2_III	0	0	0	0	1991	6	6	6
GQ868597.1	DENV-2/VE/BID-V3364/1991	Henn_2009	NCBI	1991-XX-XX	Venezuela	2	2_III	0	0	0	0	1991	6	6	6
GQ868598.1	DENV-2/VE/BID-V3365/1991	Henn_2009	NCBI	1991-XX-XX	Venezuela	2	2_III	0	0	0	0	1991	6	6	6
GQ868599.1	DENV-2/VE/BID-V3366/1987	Henn_2009	NCBI	1987-XX-XX	Venezuela	2	2_I	0	0	0	0	1987	3	3	3
GQ868603.1	DENV-2/VI/BID-V2946/1987	Henn_2009	NCBI	1987-XX-XX	Saint-John	2	2_III	0	0	0	0	1987	1	1	1
GQ868640.1	DENV-2/BR/BID-V2385/2003	Henn_2009	NCBI	2003-XX-XX	Brazil	2	2_III	0	0	0	0	2003	10	10	10
